SYMONS           2,469     1,207       181     3,688     7,197     2,250    10,750     2,330     1,351     7,613    17,444    12,654
DONOHOE         43,343     7,723    25,798    33,529    10,542    24,913    21,716    17,832    17,914    10,026    27,580    46,260
MACDONALD       19,010    34,878    24,959    26,827    19,901    10,175    16,522     6,534     8,725    24,032    33,377    23,694
KELLY           13,783    12,839     7,886     2,901     4,552     3,037     3,715     2,498     3,886     3,890    11,386     4,083
ROBERTSON        3,323    39,074    31,855    20,015    17,924    10,571     7,322     2,795    11,972    14,108    17,176    28,050
WEESE            4,062     5,151    10,430     2,240     5,046     2,192     1,643       764     3,072     2,078     8,937     6,947
GENEREAUX        9,028     4,504     5,714         0     3,067     2,226     1,733     1,459     2,197     3,272     4,726     5,220
YATES           56,461    48,135         0    37,602     5,807    11,726     9,773     3,746    22,111    23,726    22,472    16,223
BILOKRELY       18,362    41,460    37,063    28,483    26,133    23,110     5,207     9,868    20,532    25,367    10,915    24,934
MILLS           13,954    25,568    20,574    11,970     8,179     5,472     8,373     6,171     5,595     8,199    20,639    20,824
KOEBEL          25,158         0    10,342     4,934     1,869     5,017     7,628     3,090     4,601    13,543    12,455    22,723
CLARKE          23,042    23,921    10,985    12,077    10,687     5,976     6,620     3,512     4,733    11,153     6,684    11,365
WELLER          94,260    20,227    30,722    -2,960    20,597    15,202    17,231         0    28,898    22,015    80,304    51,077
WALLIS          15,112    11,440    -1,173     6,757       522     3,063     3,561     4,624         0    12,591     8,828    12,399
KELLER          41,492    28,390    27,722    15,675    24,254     9,784    11,633    12,404    14,493    20,614    24,047         0
GEROW           40,379    10,621    19,053    25,747     4,277       911    14,982     7,663         0    -2,131    34,697    20,189
WILLIAMS         8,280     8,968     7,313     2,301     8,308     5,599     3,825     3,891     7,966     3,642       191     4,433
MILLER          82,340    24,320    22,923    25,460    16,625    21,484    16,077    15,767    10,629    23,954    29,013    48,883
TWA             11,959     7,393     7,831     6,262     4,561     4,233     2,770     2,524     5,615     2,418     6,499    10,512
MCCLINTOCK       6,959     3,611     6,350     3,350     3,778     3,036     3,945     1,950     3,158     4,017     1,702     6,828
FOSTER          28,734    23,524    20,070    14,127     8,890    10,604    11,859         0    12,802    15,958    21,939    17,200
HILL            29,186    17,281    45,116    25,384    12,697    14,801    11,509         0    15,226    16,919    29,180         0
BLAMIRE         18,685    15,179     8,769     8,844    11,100     5,442     5,958     2,096    12,145     8,842    11,128     8,421
CHARBONNEAU     16,832    26,754    12,105    12,885     8,478         0         0     4,630         0    16,522    16,451    11,024
KEATING              0    11,422     8,719     9,117     5,049     3,329     4,586     2,366     6,743     5,736     5,648     6,599
TERRY           42,774    40,272     6,369     1,814         0    10,321    12,546     8,872     8,884     5,966    29,942    25,402
GORDON          10,766    12,630    23,772         0    16,744    18,505    10,856     4,479     5,885    27,534    22,140     4,519
MCBRIDE         38,597     4,301     7,393    -2,723     4,788    11,198         0    12,231     9,011   -21,118    26,316    33,021
FOBEAR          38,772    38,903    25,974    21,438    13,792    11,321    15,136    11,195     7,660    31,298     4,101    20,055
BRADY           37,157    30,420    16,626    30,175    26,921    23,576    19,730     2,990    17,568    15,559    19,248    43,416
DENNY           20,926    19,574    10,645    13,553    12,056     8,776     6,529     3,634     8,092     7,140     5,227         0
POST            19,297    42,818    18,659    35,559    24,671         0       491    -4,719    12,577     8,693     8,108     8,961
VANDERWILP       9,180    13,110    10,963     3,128     2,526     5,640       -13     1,486     4,447    -1,335     9,426     8,527
DOWNS                0     3,275    11,215     8,182     3,910     6,342     5,477       219     5,175    14,004     8,004     6,679
NEWTON               0     5,179     6,130     8,902    -4,017     7,318     1,547       747     2,576     1,601     8,097     3,846
GRIFFITHS       21,423         0    15,372     7,604         0     6,335    19,402     8,843    13,514     8,517         0         0
DILWORTH        13,483    13,694    30,086    18,074     9,916    11,014     8,772    11,500    11,542     5,671    18,825    13,501
ALGAR           17,534     7,937    14,181     3,169     8,425     3,789     7,598     3,138     5,899    19,599    25,449    13,260
PILLING          5,448     3,640     3,621     4,353     2,722     2,950     3,510     2,421     2,722     3,411     4,258     1,638
POWER           14,346    20,792    10,779    26,674    16,071     9,851     5,747     8,616    13,222    11,815         0    19,289
ANDREWS          9,176     1,140     7,439     7,779     5,449     4,285      -923     1,568     5,096    -2,004    10,428     3,444
DUTHIE          -4,337    29,519    42,499    44,175    15,863     3,200    16,502    27,149    10,108    24,063     6,755    58,531
DINGEE          13,665    18,008    -1,269    16,878    28,569    15,285    12,584    -4,513    17,014     5,590    11,100    32,237
GLANCEY         76,645    41,427    22,568    21,094    24,667    30,376     5,837       453      -767    37,497    16,622    10,110
TAYLOR          31,123    12,785    27,576     8,997    11,592    10,308     5,261     2,169     7,962     5,191    10,495         0
GREEN            5,047         0     6,837     9,351     5,347     4,460     1,882     3,269     4,321     6,312    10,350     4,938
BUGG            25,307    19,515     3,335    11,376         0    11,924     5,649    12,497     5,949    12,877    25,092    15,163
PENNELL         25,880     6,733    14,976     1,022     5,742    11,602     7,163     2,528     9,051     7,119    18,225    14,555
LOWE                 0    25,317    19,269    16,538    21,958    13,962    18,963     7,174     3,698    11,260    26,591    21,346
DAWE            12,135    28,750    19,731    13,615    20,404    11,841     6,619     6,923    10,202    13,463    17,050    14,431
