Macdonald B   FD1011959062119780515 32591
Genereaux S   FD1031945032719660207 95415
Koebel R      MD1011937110119800902 63374
Keller J      FD1011951051419740401 48898
Twa L         FD1081955071619800401 49075
Blamire J     FD1011960083119791231 46469
Gordon E      FD1031952022519790820 29960
Denny D       FD1011949081519800416 46939
Newton R      MD1081956011819790212 73368
Miller S      FD1031965010819830323 43418
Dingee S      MD1031964101219830906 46877
Bugg P        FD1011920110119580430 47165
Lafrance R    FD1011952021519830202 47017
Rogerson G    MD1011957123019830228108777
Brando D      FD1081959040319770818 44931
Anctil J      MD1081946060319790605 60974
Bauerlein J   FD1031962041519840917 33668
O'Keefe D     MD1011939031619671002 66377
Beale D       FD1031957031019740425 48023
Chesher D     FD1031956101719840828 35184
Cahill G      MD1081932050719671010 81358
Abbott K      MD1031963103119830906 50817
McKee M       FD1031960040119810413 43115
Livingston P  FD1011958092519800818 50010
Holliss D     FD1011960052719770704 46313
